0.00 0.00 0.012136
0.01 0.00 0.012144
0.01 0.00 0.012148
0.02 0.00 0.012143
0.02 0.00 0.012128
0.03 0.00 0.012103
0.03 0.00 0.012067
0.04 0.00 0.012022
0.04 0.00 0.011968
0.05 0.00 0.011907
0.05 0.00 0.011839
0.06 0.00 0.011766
0.06 0.00 0.011688
0.07 0.00 0.011606
0.07 0.00 0.011521
0.08 0.00 0.011433
0.08 0.00 0.011344
0.09 0.00 0.011254
0.09 0.00 0.011163
0.10 0.00 0.011072
0.10 0.00 0.010981
0.11 0.00 0.010891
0.11 0.00 0.010802
0.12 0.00 0.010715
0.12 0.00 0.010630
0.13 0.00 0.010546
0.13 0.00 0.010465
0.14 0.00 0.010387
0.14 0.00 0.010311
0.15 0.00 0.010239
0.15 0.00 0.010169
0.16 0.00 0.010103
0.16 0.00 0.010040
0.17 0.00 0.009981
0.17 0.00 0.009925
0.18 0.00 0.009873
0.18 0.00 0.009825
0.19 0.00 0.009780
0.19 0.00 0.009740
0.20 0.00 0.009703
0.20 0.00 0.009671
0.21 0.00 0.009642
0.21 0.00 0.009618
0.22 0.00 0.009598
0.22 0.00 0.009581
0.23 0.00 0.009569
0.23 0.00 0.009562
0.24 0.00 0.009558
0.24 0.00 0.009558
0.25 0.00 0.009563
0.25 0.00 0.009572
0.26 0.00 0.009585
0.26 0.00 0.009602
0.27 0.00 0.009624
0.27 0.00 0.009650
0.28 0.00 0.009679
0.28 0.00 0.009714
0.29 0.00 0.009752
0.29 0.00 0.009795
0.30 0.00 0.009842
0.30 0.00 0.009893
0.31 0.00 0.009948
0.31 0.00 0.010007
0.32 0.00 0.010071
0.32 0.00 0.010139
0.33 0.00 0.010211
0.33 0.00 0.010287
0.34 0.00 0.010367
0.34 0.00 0.010451
0.35 0.00 0.010540
0.35 0.00 0.010632
0.36 0.00 0.010729
0.36 0.00 0.010829
0.37 0.00 0.010934
0.37 0.00 0.011042
0.38 0.00 0.011155
0.38 0.00 0.011271
0.39 0.00 0.011391
0.39 0.00 0.011514
0.40 0.00 0.011642
0.40 0.00 0.011773
0.41 0.00 0.011907
0.41 0.00 0.012045
0.42 0.00 0.012186
0.42 0.00 0.012331
0.43 0.00 0.012479
0.43 0.00 0.012630
0.44 0.00 0.012783
0.44 0.00 0.012940
0.45 0.00 0.013100
0.45 0.00 0.013262
0.46 0.00 0.013426
0.46 0.00 0.013593
0.47 0.00 0.013762
0.47 0.00 0.013934
0.48 0.00 0.014107
0.48 0.00 0.014281
0.49 0.00 0.014458
0.49 0.00 0.014635
0.50 0.00 0.014814
0.50 0.00 0.014994
0.51 0.00 0.015175
0.51 0.00 0.015356
0.52 0.00 0.015538
0.52 0.00 0.015720
0.53 0.00 0.015901
0.53 0.00 0.016083
0.54 0.00 0.016264
0.54 0.00 0.016444
0.55 0.00 0.016623
0.55 0.00 0.016801
0.56 0.00 0.016978
0.56 0.00 0.017153
0.57 0.00 0.017326
0.57 0.00 0.017497
0.58 0.00 0.017665
0.58 0.00 0.017831
0.59 0.00 0.017994
0.59 0.00 0.018154
0.60 0.00 0.018310
0.60 0.00 0.018463
0.61 0.00 0.018612
0.61 0.00 0.018757
0.62 0.00 0.018897
0.62 0.00 0.019034
0.63 0.00 0.019165
0.63 0.00 0.019291
0.64 0.00 0.019413
0.64 0.00 0.019529
0.65 0.00 0.019639
0.65 0.00 0.019744
0.66 0.00 0.019843
0.66 0.00 0.019936
0.67 0.00 0.020022
0.67 0.00 0.020103
0.68 0.00 0.020177
0.68 0.00 0.020244
0.69 0.00 0.020305
0.69 0.00 0.020359
0.70 0.00 0.020406
0.70 0.00 0.020447
0.71 0.00 0.020480
0.71 0.00 0.020507
0.72 0.00 0.020526
0.72 0.00 0.020539
0.73 0.00 0.020545
0.73 0.00 0.020543
0.74 0.00 0.020535
0.74 0.00 0.020521
0.75 0.00 0.020499
0.75 0.00 0.020471
0.76 0.00 0.020436
0.76 0.00 0.020395
0.77 0.00 0.020348
0.77 0.00 0.020295
0.78 0.00 0.020236
0.78 0.00 0.020171
0.79 0.00 0.020101
0.79 0.00 0.020025
0.80 0.00 0.019944
0.80 0.00 0.019859
0.81 0.00 0.019769
0.81 0.00 0.019675
0.82 0.00 0.019577
0.82 0.00 0.019476
0.83 0.00 0.019371
0.83 0.00 0.019263
0.84 0.00 0.019153
0.84 0.00 0.019041
0.85 0.00 0.018926
0.85 0.00 0.018811
0.86 0.00 0.018694
0.86 0.00 0.018576
0.87 0.00 0.018459
0.87 0.00 0.018341
0.88 0.00 0.018224
0.88 0.00 0.018109
0.89 0.00 0.017995
0.89 0.00 0.017883
0.90 0.00 0.017773
0.90 0.00 0.017667
0.91 0.00 0.017564
0.91 0.00 0.017465
0.92 0.00 0.017370
0.92 0.00 0.017281
0.93 0.00 0.017197
0.93 0.00 0.017120
0.94 0.00 0.017049
0.94 0.00 0.016985
0.95 0.00 0.016929
0.95 0.00 0.016881
0.96 0.00 0.016842
0.96 0.00 0.016811
0.97 0.00 0.016790
0.97 0.00 0.016777
0.98 0.00 0.016773
0.98 0.00 0.016777
0.99 0.00 0.016787
0.99 0.00 0.016799
