0.01 0.01 0.000004 -0.000004 0.000006
0.01 0.01 0.000018 -0.000010 0.000021
0.03 0.01 0.000038 -0.000010 0.000039
0.04 0.01 0.000055 -0.000007 0.000055
0.04 0.01 0.000064 -0.000002 0.000064
0.06 0.01 0.000064 0.000003 0.000064
0.07 0.01 0.000052 0.000009 0.000052
0.07 0.01 0.000028 0.000015 0.000032
0.09 0.01 -0.000008 0.000021 0.000022
0.10 0.01 -0.000055 0.000026 0.000061
0.10 0.01 -0.000112 0.000031 0.000116
0.12 0.01 -0.000179 0.000036 0.000183
0.12 0.01 -0.000256 0.000040 0.000259
0.14 0.01 -0.000340 0.000044 0.000343
0.14 0.01 -0.000432 0.000048 0.000434
0.15 0.01 -0.000530 0.000051 0.000533
0.17 0.01 -0.000634 0.000053 0.000637
0.18 0.01 -0.000744 0.000056 0.000746
0.18 0.01 -0.000857 0.000058 0.000859
0.20 0.01 -0.000974 0.000059 0.000976
0.21 0.01 -0.001094 0.000061 0.001096
0.21 0.01 -0.001217 0.000062 0.001219
0.23 0.01 -0.001342 0.000063 0.001343
0.24 0.01 -0.001467 0.000063 0.001469
0.24 0.01 -0.001594 0.000064 0.001595
0.26 0.01 -0.001721 0.000064 0.001722
0.27 0.01 -0.001848 0.000063 0.001849
0.28 0.01 -0.001975 0.000063 0.001976
0.29 0.01 -0.002100 0.000063 0.002101
0.29 0.01 -0.002225 0.000062 0.002226
0.30 0.01 -0.002347 0.000061 0.002348
0.32 0.01 -0.002468 0.000060 0.002468
0.33 0.01 -0.002586 0.000058 0.002586
0.34 0.01 -0.002700 0.000057 0.002701
0.35 0.01 -0.002812 0.000055 0.002813
0.35 0.01 -0.002920 0.000053 0.002920
0.36 0.01 -0.003023 0.000051 0.003024
0.38 0.01 -0.003123 0.000048 0.003123
0.39 0.01 -0.003217 0.000046 0.003217
0.40 0.01 -0.003306 0.000043 0.003306
0.41 0.01 -0.003389 0.000040 0.003389
0.42 0.01 -0.003466 0.000037 0.003466
0.42 0.01 -0.003536 0.000033 0.003536
0.43 0.01 -0.003599 0.000030 0.003599
0.45 0.01 -0.003655 0.000026 0.003655
0.46 0.01 -0.003704 0.000022 0.003704
0.47 0.01 -0.003744 0.000018 0.003744
0.48 0.01 -0.003776 0.000014 0.003776
0.48 0.01 -0.003799 0.000009 0.003799
0.49 0.01 -0.003813 0.000005 0.003813
0.51 0.01 -0.003818 0.000000 0.003818
0.52 0.01 -0.003814 -0.000005 0.003814
0.53 0.01 -0.003799 -0.000009 0.003799
0.54 0.01 -0.003776 -0.000014 0.003776
0.55 0.01 -0.003742 -0.000019 0.003742
0.56 0.01 -0.003699 -0.000024 0.003699
0.57 0.01 -0.003645 -0.000029 0.003645
0.58 0.01 -0.003582 -0.000034 0.003583
0.58 0.01 -0.003510 -0.000039 0.003510
0.59 0.01 -0.003428 -0.000043 0.003429
0.60 0.01 -0.003337 -0.000048 0.003338
0.61 0.01 -0.003238 -0.000052 0.003238
0.62 0.01 -0.003130 -0.000056 0.003131
0.64 0.01 -0.003015 -0.000060 0.003015
0.65 0.01 -0.002892 -0.000063 0.002893
0.66 0.01 -0.002763 -0.000066 0.002763
0.67 0.01 -0.002627 -0.000069 0.002628
0.68 0.01 -0.002487 -0.000071 0.002488
0.69 0.01 -0.002342 -0.000073 0.002343
0.70 0.01 -0.002193 -0.000075 0.002194
0.70 0.01 -0.002042 -0.000076 0.002043
0.71 0.01 -0.001889 -0.000077 0.001890
0.72 0.01 -0.001735 -0.000077 0.001737
0.73 0.01 -0.001581 -0.000077 0.001583
0.74 0.01 -0.001429 -0.000076 0.001431
0.76 0.01 -0.001278 -0.000075 0.001281
0.77 0.01 -0.001131 -0.000073 0.001134
0.78 0.01 -0.000988 -0.000070 0.000991
0.79 0.01 -0.000850 -0.000068 0.000853
0.80 0.01 -0.000718 -0.000064 0.000721
0.81 0.01 -0.000593 -0.000061 0.000596
0.82 0.01 -0.000475 -0.000057 0.000479
0.83 0.01 -0.000367 -0.000052 0.000370
0.83 0.01 -0.000267 -0.000047 0.000271
0.84 0.01 -0.000177 -0.000042 0.000182
0.85 0.01 -0.000098 -0.000037 0.000105
0.86 0.01 -0.000030 -0.000031 0.000043
0.88 0.01 0.000027 -0.000026 0.000038
0.89 0.01 0.000073 -0.000020 0.000076
0.90 0.01 0.000107 -0.000014 0.000108
0.91 0.01 0.000130 -0.000008 0.000130
0.92 0.01 0.000141 -0.000003 0.000141
0.93 0.01 0.000142 0.000002 0.000142
0.94 0.01 0.000133 0.000007 0.000134
0.95 0.01 0.000116 0.000011 0.000117
0.96 0.01 0.000092 0.000013 0.000093
0.96 0.01 0.000064 0.000014 0.000066
0.97 0.01 0.000036 0.000013 0.000039
0.98 0.01 0.000014 0.000009 0.000017
0.99 0.01 0.000002 0.000002 0.000003
0.01 0.01 0.000010 -0.000018 0.000021
0.01 0.01 0.000035 -0.000035 0.000050
0.03 0.01 0.000065 -0.000034 0.000074
0.04 0.01 0.000086 -0.000021 0.000089
0.04 0.01 0.000088 0.000000 0.000088
0.06 0.01 0.000064 0.000025 0.000068
0.07 0.01 0.000011 0.000052 0.000053
0.07 0.01 -0.000072 0.000079 0.000107
0.09 0.01 -0.000185 0.000106 0.000213
0.10 0.01 -0.000328 0.000131 0.000354
0.10 0.01 -0.000500 0.000155 0.000523
0.12 0.01 -0.000697 0.000177 0.000720
0.12 0.01 -0.000920 0.000198 0.000941
0.14 0.01 -0.001165 0.000216 0.001185
0.14 0.01 -0.001430 0.000233 0.001449
0.15 0.01 -0.001714 0.000248 0.001732
0.17 0.01 -0.002014 0.000261 0.002031
0.18 0.01 -0.002328 0.000272 0.002344
